term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
ah,0.05000000002596268,0.05000594658250201,0.05,0.05,1.050000000081254,0.6522404622929282,0.05,6.619654644625056,0.05000000053250881,0.05000000208806415,0.05000000023718704,0.05,0.05000000036012453,2.2107893337127726,5.665625001354496,0.05,2.004795849683054,0.2923721632658459,0.05,1.9045165951236347
aid,0.05,0.05,0.05,0.05,0.05,0.05000000173295027,0.05,1.0392597584254015,0.050000001216362853,0.05000000039261277,0.35874829651523743,0.05,3.015290488308423,0.05,4.623798436038117,0.05000000017503682,0.05000000031752424,1.0500000000455472,1.050000000068838,3.2129030167304635
aim,0.05,0.050000000083430446,0.05,0.05,0.05,4.018408480638916,0.05,4.716284825838728,1.491425451190238,0.05000000020579888,0.050000000144034294,0.05,0.05000000096649347,0.050000001100995214,2.2249291948231873,0.050000000432002194,0.05000000067366936,0.5760192173497442,0.05,5.272932826520448
aims,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.8022713684411964,0.05,0.05,0.05,0.05,0.05,0.05,5.079870596384525,0.05,0.05000000042068937,0.05,0.05,1.2678580347282935
air,2.872853305535103,35.893417465406166,4.078293075758845,4.012964389690335,8.118311967770271,15.55931510023268,0.05,61.50606245334459,11.463193991446477,31.17668977612268,36.371052694410466,0.05,42.42288367685773,25.31658859181845,110.29404041088495,2.2879741162322484,15.904155609597163,13.415991061514921,8.320759297217068,111.88545301612422
air face,0.05,1.291220691340069,0.05,0.05,1.0500000000694512,0.050000007869814324,0.05,0.05000000043176082,1.050000000074238,0.050000001601425766,3.9455550862840427,0.05,0.050000004523743154,0.05,0.050000001087157804,0.050000000832243444,0.05,0.05000000027878663,0.05,3.9132242055679747
aisle,0.05,2.495687862659585,0.05,0.05,0.05,0.05000000747687985,0.05,1.591656549749053,0.05000000030059299,0.05,0.05000000093165734,0.05,4.545426414408459,4.050000000149315,2.5590226651315953,0.05000000081519951,0.05,0.05000000004309974,0.05,0.058206498303288105
ajar,0.05,0.05000000080530526,0.05,0.05,0.050000001462245966,1.0500000000392715,0.05,2.2467388338126852,0.05,2.159616560374919,0.8005475442603779,0.05,0.30368636122839177,0.05,2.1592291796186824,0.05000000009944666,2.32540145784319,0.05,0.050000000048856665,2.3547800603642624
alarm,0.06647702240172627,0.05000000031571459,0.05,0.05,1.0500000000844025,1.8185570143172534,0.05,11.001913253890626,0.05000000038242244,0.07359673603470973,3.4408494433410914,0.05,1.1294058156837623,0.05,9.164258611056438,0.050000000214117254,3.188284363206401,1.627102660910742,1.050000000066818,3.9895550780573066
alarm clock,0.05,0.05,0.05,0.05,1.050000000066977,0.05,0.05,2.43719781305783,0.05,0.05,2.393183611635129,0.05,0.05,0.05,0.05000000012713239,0.05,0.05,0.05,0.05,2.319618575089488
